GroupName,ContractDate,ContractPrice
Прочее,2020-06-08,13904379394.75
Прочее,2017-11-20,13875741026.75
Прочее,2019-04-30,13868690459.75
Прочее,2017-05-26,13802272408.82
Прочее,2016-10-10,13755897712.50
Прочее,2019-12-13,13752946213.17
Строительный надзор,2018-11-06,13685284896.60
Прочее,2019-08-13,13584986265.56
Прочее,2017-04-24,13511695532.63
Прочее,2020-04-21,13490035101.35
Прочее,2018-06-18,13417968547.74
Прочее,2021-08-30,13405662140.51
Прочее,2019-04-01,13343071350.15
Прочее,2019-06-28,13312487508.68
Прочее,2021-03-26,13309273505.14
Строительный надзор,2018-11-30,13308457917.10
Прочее,2018-04-16,13305665639.83
Прочее,2017-08-25,13300306216.68
Прочее,2021-04-20,13271366196.01
Прочее,2019-12-10,13236286200.38
Прочее,2021-03-22,13179691828.76
Прочее,2020-06-01,13170269834.08
Прочее,2020-03-24,13141385057.56
Прочее,2017-12-04,13051524338.73
Строительный надзор,2019-06-03,13046149836.19
Прочее,2017-07-31,13026376797.95
Прочее,2016-02-12,12987176790.24
Прочее,2019-05-14,12905255572.96
Прочее,2018-05-03,12905177645.14
Прочее,2019-05-29,12884067616.78
Прочее,2018-05-08,12772807518.10
Прочее,2021-06-29,12762113038.53
Прочее,2019-11-19,12745221450.87
Прочее,2021-06-15,12618155826.71
Прочее,2020-05-18,12543820027.68
Строительный надзор,2019-05-13,12534775676.60
Прочее,2017-10-02,12428935913.97
Прочее,2016-11-01,12393743913.69
Прочее,2018-07-02,12330180838.75
Прочее,2016-09-15,12294178659.51
Прочее,2018-05-18,12235192611.69
Строительный надзор,2017-01-31,12223229569.74
Строительный надзор,2020-05-27,12211189255.28
Прочее,2016-07-20,12199506638.19
Прочее,2017-04-03,12196980868.89
Прочее,2020-05-25,12179517626.34
Прочее,2017-08-29,12174944869.57
Прочее,2017-08-07,12166627466.63
Прочее,2020-03-23,12146175116.71
Прочее,2017-06-19,12139472212.14
Прочее,2021-03-09,12033817700.34
Прочее,2018-07-06,12023918125.27
Прочее,2019-11-29,11967890065.18
Прочее,2019-06-26,11965041853.43
Прочее,2019-05-07,11941214156.54
Прочее,2021-03-30,11938726195.14
Прочее,2019-08-26,11879106285.34
Строительный надзор,2019-09-16,11845144031.43
Прочее,2017-05-16,11819395044.77
Прочее,2019-11-05,11801523280.61
Прочее,2018-04-24,11753834898.74
Прочее,2016-09-27,11734841194.57
Прочее,2016-08-01,11734315534.89
Прочее,2019-07-03,11663199678.34
Прочее,2016-09-26,11657848559.13
Прочее,2016-12-30,11646191630.88
Прочее,2018-08-28,11639150535.74
Прочее,2017-08-18,11624820332.75
Прочее,2018-07-30,11607874747.46
Прочее,2019-12-03,11602480498.99
Прочее,2019-09-30,11576999273.92
Прочее,2018-04-09,11529996538.68
Прочее,2018-12-05,11495233513.27
Прочее,2019-11-22,11488842911.99
Прочее,2020-02-25,11465500505.78
Прочее,2019-07-23,11458243151.65
Строительный надзор,2019-08-21,11454867242.98
Прочее,2021-01-11,11447383413.58
Прочее,2019-08-12,11429056206.27
Прочее,2018-05-29,11389774672.94
Строительный надзор,2020-12-17,11388963245.50
Прочее,2018-05-22,11380177584.82
Прочее,2018-09-03,11359407584.07
Прочее,2020-03-13,11295536355.50
Прочее,2017-09-04,11287922979.00
Прочее,2019-07-16,11279818605.08
Прочее,2021-09-27,11260293250.07
Прочее,2016-08-08,11235230690.41
Прочее,2021-07-12,11233825253.56
Прочее,2016-06-27,11203143948.73
Прочее,2016-01-11,11193934995.69
Строительный надзор,2019-12-02,11170837599.56
Прочее,2020-06-23,11162524158.37
Прочее,2018-05-30,11092576989.04
Прочее,2021-07-23,11086639654.55
Прочее,2019-07-01,11062922546.40
Прочее,2021-07-05,11040355496.68
Прочее,2018-04-28,10997515869.39
Прочее,2021-12-03,10977816084.97
Прочее,2016-11-07,10949844497.35
Прочее,2016-08-16,10941125049.76
Прочее,2021-06-18,10939259310.39
Прочее,2018-07-23,10936718685.03
Прочее,2020-12-30,10920723297.70
Прочее,2019-04-23,10907811144.51
Прочее,2021-06-21,10899177184.02
Прочее,2017-04-17,10855752882.12
Прочее,2020-08-10,10804570056.69
Строительный надзор,2016-12-19,10787160590.96
Прочее,2020-06-26,10777670491.83
Прочее,2016-12-20,10723083048.95
Прочее,2018-04-13,10708417654.73
Прочее,2016-05-12,10703056084.89
Прочее,2016-08-15,10673578332.17
Прочее,2017-12-22,10665678396.18
Прочее,2017-07-28,10648350015.89
Прочее,2021-05-04,10634041516.91
Прочее,2017-06-06,10618042358.16
Прочее,2019-04-16,10606495405.51
Прочее,2019-01-09,10567997946.04
Прочее,2016-06-06,10548413384.00
Прочее,2020-06-16,10543959275.85
Прочее,2019-04-09,10520232603.59
Прочее,2018-06-05,10430657686.79
Прочее,2019-11-25,10422639634.42
Прочее,2018-05-16,10412104856.74
Прочее,2021-05-24,10406175641.85
Проектно-изыскательские работы (ПИР),2021-06-03,10388877584.83
Прочее,2018-06-26,10333019624.65
Прочее,2017-06-02,10295913258.72
Прочее,2017-08-21,10255704660.25
Прочее,2016-12-07,10252291010.74
Строительный надзор,2020-10-01,10247161823.29
Прочее,2018-07-16,10223409464.76
Прочее,2021-04-09,10220670164.41
Прочее,2016-10-20,10216508544.92
Строительный надзор,2017-10-16,10214904853.61
Прочее,2018-06-04,10193073965.26
Прочее,2016-04-29,10191982035.93
Строительный надзор,2019-07-16,10182474747.01
Строительный надзор,2017-09-25,10171856234.10
Прочее,2019-09-02,10150307124.79
Прочее,2016-07-04,10140751424.87
Прочее,2021-09-13,10104156604.93
Прочее,2021-03-15,10086275515.57
Прочее,2016-09-20,10050419548.23
Прочее,2018-04-23,10015086116.70
Прочее,2017-11-10,9979062318.49
Прочее,2017-12-08,9971824346.29
Прочее,2021-08-23,9939193304.95
Прочее,2018-05-07,9884900998.54
Прочее,2020-08-03,9858023698.60
Прочее,2020-07-27,9830838025.46
Прочее,2021-03-16,9821911707.28
Прочее,2016-12-29,9807493975.21
Прочее,2020-08-17,9795526731.25
Прочее,2019-12-09,9780250866.30
Прочее,2021-06-22,9719197149.23
Прочее,2018-07-09,9708640223.50
Прочее,2019-10-14,9701091282.51
Прочее,2021-05-28,9678129181.87
Прочее,2018-12-21,9672380535.64
Прочее,2019-04-19,9649828101.38
Строительный надзор,2020-12-21,9614955233.70
Прочее,2020-12-14,9614901411.71
Прочее,2020-09-01,9613467740.97
Прочее,2019-08-02,9600330122.87
Прочее,2020-05-26,9599845659.97
Прочее,2017-11-14,9592101302.31
Строительный надзор,2020-02-14,9591727069.01
Прочее,2019-07-09,9586841640.78
Прочее,2019-04-08,9576605431.24
Прочее,2017-09-29,9572777436.08
Прочее,2017-07-11,9546022683.94
Прочее,2017-06-28,9544576320.66
Прочее,2017-07-04,9544051085.46
Прочее,2018-06-13,9523189584.46
Прочее,2019-04-12,9514359903.90
Прочее,2020-04-28,9513478957.81
Прочее,2016-05-04,9505054745.02
Прочее,2016-04-27,9483222351.27
Прочее,2020-08-18,9481548041.84
Прочее,2018-07-03,9479974409.73
Прочее,2021-06-28,9448193237.20
Прочее,2019-06-14,9422177339.35
Прочее,2018-03-05,9406413108.02
Прочее,2018-04-20,9405821173.47
Строительный надзор,2018-02-06,9403460363.47
Прочее,2016-05-16,9392575323.53
Строительный надзор,2020-12-29,9386829205.82
Прочее,2021-06-07,9378315958.64
Прочее,2019-10-07,9376421892.21
Строительный надзор,2017-01-27,9356976366.34
Прочее,2018-12-17,9353129562.45
Прочее,2020-05-08,9335003647.32
Прочее,2017-01-12,9319844407.23
Прочее,2016-07-19,9305845251.19
Строительный надзор,2018-09-03,9221643445.78
Прочее,2018-08-13,9212623278.89
Строительный надзор,2020-05-12,9200795727.13
Строительный надзор,2021-02-26,9180144633.41
Прочее,2016-06-21,9165383509.35
Прочее,2017-12-20,9163576461.50
Прочее,2021-03-01,9146968134.11
Прочее,2017-04-11,9146536810.05
Прочее,2016-08-22,9138780318.14
